State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Seminole County, Florida(6,8)",,444.7,436.4,453,2315,falling,-0.9,-1.3,-0.4
"Spokane County, Washington(6,8)",,399.6,392.1,407.2,2293,falling,-2,-2.7,-1.2
"Placer County, California(7,8)",,462.8,454.1,471.6,2286,falling,-0.6,-0.8,-0.3
"Stark County, Ohio(6,8)",,455.5,446.9,464.3,2285,falling,-0.5,-1,-0.1
"Hillsborough County, New Hampshire(6,8)",,468.7,459.9,477.7,2277,falling,-1,-1.3,-0.6
"Stanislaus County, California(7,8)",,423.3,415.4,431.3,2273,falling,-0.4,-0.7,-0.1
"Lehigh County, Pennsylvania(6,8)",,509.9,500.3,519.7,2238,stable,-0.3,-0.7,0
"Luzerne County, Pennsylvania(6,8)",,508.7,498.9,518.6,2228,stable,0,-0.3,0.3
"East Baton Rouge Parish, Louisiana(7,8)",,480.4,471.3,489.7,2224,stable,-0.4,-0.8,0
"Washoe County, Nevada(6,8)",,429.9,421.7,438.3,2220,falling,-0.8,-1.3,-0.4
"Virginia Beach City, Virginia(6,8)",,464.2,455.4,473.1,2200,stable,0.2,-0.1,0.5
"Polk County, Iowa(7,8)",,461.8,453,470.8,2187,falling,-0.3,-0.5,-0.1
"Montgomery County, Texas(6,8)",,394,386.4,401.7,2178,falling,-2.6,-3,-2.2
"Mobile County, Alabama(6,8)",,442.5,433.9,451.1,2164,falling,-1.7,-2.4,-1.1
"Pulaski County, Arkansas(6,8)",,487.4,478,497,2154,falling,-0.4,-0.7,-0.1
"Solano County, California(7,8)",,433.3,424.9,441.8,2151,falling,-2,-3.2,-0.8
"Mercer County, New Jersey(7,8)",,503.9,494.1,513.7,2138,falling,-0.6,-0.9,-0.3
"Clark County, Washington(6,8)",,417.8,409.7,426,2136,falling,-5.1,-7.8,-2.4
"Santa Barbara County, California(7,8)",,437.1,428.6,445.8,2102,falling,-0.5,-0.8,-0.1
"Ada County, Idaho(7,8)",,456.5,447.6,465.6,2080,falling,-0.9,-1.1,-0.7
"Northampton County, Pennsylvania(6,8)",,523,512.6,533.5,2073,falling,-1.1,-1.7,-0.4
"Horry County, South Carolina(6,8)",,454.8,445.5,464.2,2068,falling,-1,-1.5,-0.5
"Williamson County, Texas(6,8)",,426,417.6,434.5,2052,rising,2.7,0.8,4.7
